SKU;COGS
88a4d926-5a90-4d8f-bbc9-d41e837ae2f8;563,1535
7d5c0d02-0288-46b8-8260-2fdf6df2de5d;562,3842313
622a1f4f-6408-458a-b655-54e9dbc61133;561,4
1a285bea-114f-4299-8890-fd2d4f96c2ea;560
f11a8441-1561-4bb8-9190-2829f015176a;559,86
8f3d9e62-c03f-4637-ad5f-b044a1a770aa;558,6
9c99b0bf-941d-4e8f-b80c-e24cc48c8d3b;555,87
9165280d-eb07-4173-a381-8625b3b00b28;554,4
484ef519-fb53-4344-bba8-0d2284d522e8;552,7895123
6f81c635-9225-4cdc-9b9d-e0faebc25520;550,6627204
c3a6556f-3bf9-4098-9b7f-561045133b20;550,5507132
58044191-a494-46a2-9f26-be0ebde07c97;548,1767481
